County,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Albany County,214923,215095,215267,215441,215615,215791,215967,216144,216322,216501,216681,216861,217043,217225,217408,217592,217777,217963,218150,218337,218526,218715,218906,219097,219289,219482,219676,219871,220067,220263,220461
Allegany County,33515,33542,33569,33596,33623,33651,33678,33706,33734,33761,33789,33818,33846,33874,33903,33932,33960,33989,34019,34048,34077,34107,34136,34166,34196,34226,34257,34287,34317,34348,34379
Bronx County,268913,269128,269344,269562,269780,269999,270220,270441,270664,270888,271113,271339,271566,271794,272023,272253,272485,272717,272951,273186,273422,273659,273897,274136,274376,274618,274861,275104,275349,275595,275843
Broome County,134007,134115,134222,134331,134439,134549,134659,134769,134880,134991,135103,135216,135329,135443,135557,135672,135787,135903,136019,136136,136254,136372,136491,136610,136730,136850,136971,137093,137215,137337,137460
Cattaraugus County,54841,54885,54929,54973,55018,55062,55107,55152,55198,55243,55289,55335,55382,55428,55475,55522,55569,55617,55664,55712,55760,55809,55857,55906,55955,56004,56054,56103,56153,56204,56254
Cayuga County,56010,56055,56100,56145,56191,56236,56282,56328,56375,56421,56468,56515,56562,56610,56658,56706,56754,56802,56851,56900,56949,56998,57048,57098,57148,57198,57249,57299,57350,57402,57453
Chautauqua County,92052,92125,92199,92274,92348,92423,92499,92575,92651,92728,92804,92882,92960,93038,93116,93195,93274,93354,93434,93514,93595,93676,93757,93839,93922,94004,94087,94171,94255,94339,94424
Chemung County,57358,57404,57450,57497,57543,57590,57637,57684,57732,57780,57828,57876,57924,57973,58022,58071,58120,58170,58220,58270,58320,58371,58421,58472,58524,58575,58627,58679,58731,58784,58836
Chenango County,39021,39052,39084,39115,39147,39179,39211,39243,39275,39307,39340,39373,39406,39439,39472,39506,39539,39573,39607,39641,39675,39710,39744,39779,39814,39849,39884,39919,39955,39991,40026
Clinton County,60981,61029,61078,61128,61177,61227,61277,61327,61378,61428,61479,61531,61582,61634,61686,61738,61790,61843,61896,61949,62003,62057,62111,62165,62219,62274,62329,62385,62440,62496,62552
Columbia County,51939,51981,52023,52064,52107,52149,52192,52234,52277,52321,52364,52408,52452,52496,52540,52584,52629,52674,52719,52764,52810,52856,52902,52948,52994,53041,53088,53135,53182,53230,53278
Cortland County,32811,32837,32864,32890,32917,32944,32971,32998,33025,33052,33079,33107,33135,33163,33191,33219,33247,33275,33304,33332,33361,33390,33419,33448,33478,33507,33537,33567,33596,33626,33657
Delaware County,35856,35884,35913,35942,35971,36000,36030,36059,36089,36119,36149,36179,36209,36240,36270,36301,36332,36363,36394,36425,36457,36488,36520,36552,36584,36616,36649,36681,36714,36746,36779
Dutchess County,230571,230755,230940,231127,231314,231502,231691,231881,232072,232264,232456,232650,232845,233040,233237,233434,233633,233832,234033,234234,234436,234639,234843,235049,235255,235462,235670,235879,236089,236300,236512
Erie County,625056,625556,626058,626563,627071,627581,628093,628608,629126,629646,630168,630693,631221,631751,632284,632819,633357,633898,634441,634987,635535,636086,636639,637195,637754,638316,638880,639446,640016,640588,641162
Essex County,31062,31087,31112,31137,31162,31188,31213,31239,31265,31290,31316,31342,31369,31395,31422,31448,31475,31502,31529,31556,31583,31610,31638,31666,31693,31721,31749,31777,31806,31834,31863
Franklin County,34732,34760,34788,34816,34844,34872,34901,34929,34958,34987,35016,35045,35074,35104,35133,35163,35193,35223,35253,35284,35314,35345,35375,35406,35437,35469,35500,35531,35563,35595,35627
Fulton County,38160,38191,38221,38252,38283,38314,38346,38377,38409,38440,38472,38504,38537,38569,38601,38634,38667,38700,38733,38766,38800,38834,38867,38901,38935,38970,39004,39039,39074,39108,39144
Genesee County,47191,47228,47266,47304,47343,47381,47420,47459,47498,47537,47577,47616,47656,47696,47736,47777,47817,47858,47899,47940,47982,48023,48065,48107,48149,48192,48234,48277,48320,48363,48407
Greene County,43001,43035,43070,43104,43139,43174,43210,43245,43281,43316,43352,43389,43425,43461,43498,43535,43572,43609,43646,43684,43722,43760,43798,43836,43874,43913,43952,43991,44030,44069,44109
Hamilton County,4745,4749,4753,4757,4761,4765,4768,4772,4776,4780,4784,4788,4792,4796,4800,4804,4808,4812,4817,4821,4825,4829,4833,4838,4842,4846,4850,4855,4859,4863,4868
Herkimer County,45676,45712,45749,45786,45823,45860,45898,45935,45973,46011,46049,46088,46126,46165,46204,46243,46282,46322,46362,46401,46441,46482,46522,46563,46604,46645,46686,46727,46769,46811,46853
Jefferson County,81216,81281,81346,81412,81478,81544,81611,81678,81745,81812,81880,81948,82017,82086,82155,82225,82295,82365,82435,82506,82578,82649,82721,82793,82866,82939,83012,83086,83160,83234,83309
Kings County,509076,509483,509892,510304,510717,511132,511550,511969,512391,512814,513240,513668,514097,514529,514963,515399,515837,516277,516720,517164,517611,518059,518510,518963,519418,519875,520335,520796,521260,521726,522194
Lewis County,23014,23032,23051,23069,23088,23107,23125,23144,23164,23183,23202,23221,23241,23260,23280,23300,23319,23339,23359,23379,23399,23420,23440,23461,23481,23502,23523,23544,23564,23586,23607
Livingston County,48920,48959,48999,49038,49078,49118,49158,49198,49239,49280,49320,49362,49403,49444,49486,49528,49570,49612,49655,49698,49740,49784,49827,49870,49914,49958,50002,50047,50091,50136,50181
Madison County,60783,60832,60881,60930,60979,61029,61078,61129,61179,61229,61280,61331,61383,61434,61486,61538,61590,61643,61696,61749,61802,61856,61910,61964,62018,62073,62127,62183,62238,62293,62349
Monroe County,507640,508046,508454,508865,509277,509691,510107,510525,510946,511368,511792,512219,512647,513078,513511,513946,514382,514821,515262,515706,516151,516598,517048,517500,517953,518409,518867,519328,519790,520254,520721
Montgomery County,43909,43944,43979,44015,44050,44086,44122,44158,44195,44231,44268,44305,44342,44379,44417,44454,44492,44530,44568,44606,44645,44684,44722,44762,44801,44840,44880,44920,44960,45000,45040
Nassau County,958292,959058,959828,960603,961381,962162,962948,963738,964531,965328,966130,966935,967744,968557,969373,970194,971019,971848,972680,973517,974357,975202,976051,976903,977760,978621,979485,980354,981227,982104,982985
New York County,223210,223388,223568,223748,223929,224111,224294,224478,224663,224849,225035,225223,225411,225601,225791,225982,226174,226367,226561,226756,226952,227149,227346,227545,227744,227945,228146,228349,228552,228756,228961
Niagara County,157023,157149,157275,157402,157529,157658,157786,157916,158046,158176,158308,158440,158572,158705,158839,158974,159109,159245,159381,159518,159656,159794,159933,160073,160213,160354,160496,160638,160781,160925,161069
Oneida County,159716,159843,159972,160101,160230,160361,160492,160623,160756,160888,161022,161156,161291,161426,161563,161699,161837,161975,162114,162253,162393,162534,162675,162818,162960,163104,163248,163393,163538,163684,163831
Onondaga County,314680,314932,315185,315439,315695,315952,316210,316469,316729,316991,317254,317519,317784,318051,318319,318589,318860,319132,319405,319680,319956,320233,320512,320792,321073,321356,321640,321925,322212,322500,322789
Ontario County,89978,90050,90122,90195,90268,90341,90415,90489,90564,90639,90714,90790,90865,90942,91019,91096,91173,91251,91329,91408,91486,91566,91645,91726,91806,91887,91968,92050,92131,92214,92297
Orange County,270794,271011,271228,271447,271667,271888,272110,272333,272557,272782,273009,273236,273465,273695,273925,274157,274390,274625,274860,275096,275334,275572,275812,276053,276295,276538,276783,277028,277275,277523,277772
Orleans County,30864,30889,30913,30938,30963,30989,31014,31039,31065,31091,31116,31142,31168,31195,31221,31247,31274,31301,31327,31354,31381,31409,31436,31463,31491,31519,31547,31575,31603,31631,31659
Oswego County,93682,93757,93832,93908,93984,94060,94137,94214,94292,94370,94448,94527,94606,94686,94765,94846,94926,95007,95089,95170,95253,95335,95418,95502,95585,95669,95754,95839,95924,96010,96096
Otsego County,44180,44215,44251,44286,44322,44358,44395,44431,44468,44504,44541,44578,44616,44653,44691,44729,44767,44805,44843,44882,44921,44960,44999,45038,45077,45117,45157,45197,45237,45278,45318
Putnam County,85871,85940,86009,86078,86148,86218,86288,86359,86430,86501,86573,86645,86718,86791,86864,86937,87011,87086,87160,87235,87310,87386,87462,87539,87615,87693,87770,87848,87926,88005,88084
Queens County,783562,784189,784818,785451,786088,786727,787369,788015,788664,789316,789971,790629,791290,791955,792623,793294,793968,794646,795327,796011,796698,797389,798083,798780,799480,800184,800891,801601,802315,803032,803752
Rensselaer County,116276,116369,116462,116556,116651,116746,116841,116937,117033,117130,117227,117325,117423,117521,117620,117720,117820,117921,118022,118123,118225,118328,118431,118534,118638,118743,118847,118953,119059,119165,119272
Richmond County,261491,261701,261911,262122,262334,262548,262762,262978,263194,263412,263630,263850,264071,264292,264515,264739,264964,265190,265418,265646,265875,266106,266337,266570,266804,267039,267275,267512,267750,267989,268230
Rockland County,207293,207458,207625,207792,207961,208130,208300,208471,208642,208815,208988,209162,209337,209513,209690,209867,210046,210225,210405,210586,210768,210950,211134,211318,211504,211690,211877,212065,212254,212443,212634
Saratoga County,186732,186882,187032,187183,187334,187487,187640,187793,187948,188103,188260,188416,188574,188733,188892,189052,189212,189374,189536,189699,189863,190027,190193,190359,190526,190694,190862,191031,191201,191372,191544
Schenectady County,122916,123014,123113,123212,123312,123413,123513,123615,123716,123819,123921,124025,124128,124233,124337,124443,124549,124655,124762,124869,124977,125085,125194,125303,125413,125524,125634,125746,125858,125970,126083
Schoharie County,27684,27706,27728,27751,27773,27796,27819,27841,27864,27887,27910,27934,27957,27981,28004,28028,28052,28076,28100,28124,28148,28173,28197,28222,28246,28271,28296,28321,28347,28372,28397
Schuyler County,15713,15725,15738,15751,15764,15776,15789,15802,15815,15828,15841,15855,15868,15881,15895,15908,15922,15935,15949,15963,15976,15990,16004,16018,16032,16046,16060,16075,16089,16103,16118
Seneca County,23074,23092,23111,23129,23148,23167,23186,23205,23224,23243,23262,23282,23301,23321,23341,23360,23380,23400,23420,23440,23461,23481,23501,23522,23542,23563,23584,23605,23626,23647,23668
St. Lawrence County,78996,79059,79123,79186,79251,79315,79380,79445,79510,79576,79642,79708,79775,79842,79909,79977,80045,80113,80182,80251,80320,80390,80460,80530,80601,80672,80743,80815,80887,80959,81031
Steuben County,73152,73210,73269,73328,73388,73447,73507,73568,73628,73689,73750,73812,73873,73935,73998,74060,74123,74187,74250,74314,74378,74443,74507,74573,74638,74704,74770,74836,74903,74970,75037
Suffolk County,1188116,1189066,1190021,1190981,1191946,1192915,1193889,1194868,1195852,1196840,1197833,1198832,1199835,1200842,1201855,1202873,1203895,1204923,1205955,1206992,1208034,1209082,1210134,1211191,1212253,1213320,1214392,1215469,1216551,1217639,1218731
Sullivan County,61672,61721,61771,61821,61871,61921,61972,62023,62074,62125,62176,62228,62280,62333,62385,62438,62491,62544,62598,62652,62706,62760,62815,62870,62925,62980,63036,63092,63148,63205,63261
Tioga County,40369,40402,40434,40467,40499,40532,40566,40599,40632,40666,40700,40733,40768,40802,40836,40871,40906,40940,40976,41011,41046,41082,41117,41153,41189,41226,41262,41299,41336,41372,41410
Tompkins County,58750,58797,58844,58891,58939,58987,59035,59083,59132,59181,59230,59279,59329,59379,59429,59479,59530,59581,59632,59683,59735,59786,59838,59891,59943,59996,60049,60102,60156,60209,60263
Ulster County,155391,155515,155640,155766,155892,156019,156146,156274,156403,156532,156662,156793,156924,157056,157188,157321,157455,157589,157724,157860,157996,158133,158271,158409,158548,158687,158828,158969,159110,159252,159395
Unknown,357,357,358,358,358,359,359,359,359,360,360,360,361,361,361,362,362,362,362,363,363,363,364,364,364,365,365,365,366,366,366
Warren County,55835,55880,55925,55970,56015,56061,56107,56153,56199,56245,56292,56339,56386,56433,56481,56529,56577,56625,56674,56722,56771,56821,56870,56920,56970,57020,57070,57121,57172,57223,57274
Washington County,52901,52943,52986,53029,53071,53115,53158,53202,53245,53289,53334,53378,53423,53468,53513,53558,53604,53649,53695,53741,53788,53834,53881,53928,53976,54023,54071,54119,54167,54215,54264
Wayne County,79637,79701,79765,79829,79894,79959,80024,80090,80156,80222,80289,80356,80423,80490,80558,80627,80695,80764,80833,80903,80972,81043,81113,81184,81255,81327,81399,81471,81543,81616,81689
Westchester County,622778,623276,623776,624279,624785,625293,625804,626317,626832,627351,627871,628395,628920,629449,629979,630513,631049,631587,632128,632672,633218,633767,634319,634873,635430,635989,636551,637115,637683,638253,638825
Wyoming County,32707,32734,32760,32786,32813,32839,32866,32893,32920,32948,32975,33002,33030,33058,33086,33114,33142,33170,33198,33227,33256,33285,33314,33343,33372,33401,33431,33460,33490,33520,33550
Yates County,18586,18601,18616,18631,18646,18661,18677,18692,18707,18723,18738,18754,18770,18785,18801,18817,18833,18849,18865,18882,18898,18914,18931,18947,18964,18981,18997,19014,19031,19048,19065
